feature_idx,u_statistic,p_value,effect_size,abs_effect_size,mean_low_progress,mean_high_progress,std_low_progress,std_high_progress,direction,adjusted_p,significant,composite_score
10609,675155.0,0.0,0.39664863879436074,0.39664863879436074,0.00126520951744169,0.011282430961728096,0.0054851402528584,0.012980472296476364,higher_in_low_progress,0.0,True,118.99459163830822
11471,724125.0,0.0,0.3528866639023135,0.3528866639023135,0.000755322864279151,0.009252140298485756,0.00416993023827672,0.011962959542870522,higher_in_low_progress,0.0,True,105.86599917069405
1972,733422.5,0.0,0.3445779654837141,0.3445779654837141,0.0008266499498859048,0.008944489993155003,0.00428805174306035,0.011639007367193699,higher_in_low_progress,0.0,True,103.37338964511423
9215,770028.5,0.0,0.31186506262689806,0.31186506262689806,0.0021099925506860018,0.014447520487010479,0.009239204227924347,0.02112717740237713,higher_in_low_progress,0.0,True,93.55951878806941
11070,779687.0,0.0,0.30323375704195143,0.30323375704195143,0.0016180003294721246,0.008838456124067307,0.006274973973631859,0.011706260032951832,higher_in_low_progress,0.0,True,90.97012711258543
3154,1450214.5,0.0,-0.2959822449884184,0.2959822449884184,0.01240611169487238,0.00021277336054481566,0.020607370883226395,0.0025310134515166283,higher_in_high_progress,0.0,True,88.79467349652552
11183,826941.0,0.0,0.26100528325087935,0.26100528325087935,0.0014941907720640302,0.007229205686599016,0.005722259636968374,0.010517611168324947,higher_in_low_progress,0.0,True,78.30158497526381
9998,1381080.0,0.0,-0.2342002916869228,0.2342002916869228,0.010496913455426693,0.0002611253294162452,0.02087125927209854,0.002855728380382061,higher_in_high_progress,0.0,True,70.26008750607684
15966,857068.0,0.0,0.23408233006377077,0.23408233006377077,0.00045285889063961804,0.008885120041668415,0.0038357400335371494,0.016811346635222435,higher_in_low_progress,0.0,True,70.22469901913124
1528,867542.0,0.0,0.22472225399639678,0.22472225399639678,0.0008775470196269453,0.006074793171137571,0.004521253053098917,0.010365040972828865,higher_in_low_progress,0.0,True,67.41667619891903
5981,1369324.0,0.0,-0.22369455803711857,0.22369455803711857,0.013164510019123554,0.0006296324427239597,0.027043841779232025,0.0047249263152480125,higher_in_high_progress,0.0,True,67.10836741113557
15118,874082.0,0.0,0.2188777917584146,0.2188777917584146,0.001074506202712655,0.006216161418706179,0.004993569105863571,0.010546551086008549,higher_in_low_progress,0.0,True,65.66333752752438
14915,885665.0,0.0,0.20852665932683234,0.20852665932683234,0.0010312044760212302,0.005680670030415058,0.004907707218080759,0.009867219254374504,higher_in_low_progress,0.0,True,62.557997798049705
1457,932184.0,0.0,0.166955017301038,0.166955017301038,0.00045974133536219597,0.006325921975076199,0.0038297877181321383,0.014588853344321251,higher_in_low_progress,0.0,True,50.08650519031141
8150,1301481.5,0.0,-0.16306719880465548,0.16306719880465548,0.005728685762733221,0.00025775772519409657,0.013419298455119133,0.00319050345569849,higher_in_high_progress,0.0,True,48.920159641396644
13328,1297321.5,0.0,-0.15934962037804912,0.15934962037804912,0.0072261011227965355,0.0008597713313065469,0.01587190479040146,0.005457435268908739,higher_in_high_progress,0.0,True,47.80488611341474
15790,1294177.0,0.0,-0.15653954216591837,0.15653954216591837,0.006950397044420242,0.0003695259802043438,0.01777780055999756,0.003561070654541254,higher_in_high_progress,0.0,True,46.96186264977551
15872,951511.0,0.0,0.14968346964454227,0.14968346964454227,0.00047950955922715366,0.005843030754476786,0.0038102539256215096,0.014428835362195969,higher_in_low_progress,0.0,True,44.90504089336268
3212,1274279.0,0.0,-0.13875772112442442,0.13875772112442442,0.006082606036216021,0.00015505436749663204,0.016813891008496284,0.002206507371738553,higher_in_high_progress,0.0,True,41.62731633732732
15030,937635.0,3.75547988439051e-43,0.16208373845405932,0.16208373845405932,0.0012608295073732734,0.006775799207389355,0.007088936399668455,0.014843083918094635,higher_in_low_progress,3.0713294184950214e-41,True,6.566445591917308
