feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
goal1_top20_alpha1p5_n128,0,10609,0.016291041683871202,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,1,11471,0.013500549015589001,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,2,1972,0.013003410014789551,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,3,9215,0.0206162844551726,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,4,11070,0.0124486840213649,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,5,3154,-0.005883895806618949,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,6,11183,0.0100967131438665,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,7,9998,-0.0048567687335889995,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,8,15966,0.0131012506171828,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,9,1528,0.0086734162468928,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,10,5981,-0.005637806345475898,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,11,15118,0.008786989026702849,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,12,14915,0.008005402807611901,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,13,1457,0.009259012294933101,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,14,8150,-0.0024777062935755993,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,15,13328,-0.0023233935644385003,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,16,15790,-0.0029209095519036514,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,17,15872,0.0085247913521015,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,18,3212,-0.0028087214668631004,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha1p5_n128,19,15030,0.00953328405739735,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
