feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
goal1_top20_alpha2p0_n96,0,10609,0.0212996524060144,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,1,11471,0.0177489577326923,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,2,1972,0.017062330036424104,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,3,9215,0.026785048423334797,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,4,11070,0.0160589119186625,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,5,3154,-0.0119805649737827,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,6,11183,0.012964220601134,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,7,9998,-0.009974662796594199,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,8,15966,0.017317381192697198,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,9,1528,0.0112720393226481,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,10,5981,-0.011905245133675699,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,11,15118,0.011357816634699598,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,12,14915,0.010330135584808801,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,13,1457,0.0121921026147901,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,14,8150,-0.0052131703123452,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,15,13328,-0.0055065584601835,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,16,15790,-0.006211345084011601,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,17,15872,0.0112065519497263,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,18,3212,-0.0057724973012228,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
goal1_top20_alpha2p0_n96,19,15030,0.012290768907405401,1.0,eccv_final_rebuttal_high_ev,set_low_progress_toward_high_progress_mean,0,always,20,goal:1
