feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,trigger_latch,allowed_task_specs,condition_names
submitted_high13_goal1_clean_lowmean_n96_random04,0,10555,0.0010426741250277643,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,1,16035,0.005089977636614558,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,2,7505,0.003322124697845708,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,3,8234,0.004014543778098657,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,4,6170,0.002721099418284163,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,5,11347,0.0011438121433982342,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,6,7307,0.0006723538910183129,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,7,2030,0.0006746102185461631,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,8,14525,0.0007443084657929278,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,9,2768,0.0030941743164616896,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,10,7052,0.003487657679663202,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,11,3796,0.006886695634902373,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
submitted_high13_goal1_clean_lowmean_n96_random04,12,9998,0.010496913358310137,1.0,closed_loop_necessity_matched_random,set_high_progress_features_to_lowmean,1,always,0,1,goal:1,clean
